product_id,seller_id,primary_category,primary_subcategory,brand,product_name,base_price,price_band,is_active,created_ts,fulfillment_channel,category_attributes
PRD-FASHION-00000001,SEL-OVN-PRE-00000078,Fashion,Women's Fashion,VinaWear,Women's Fashion Item 000001,233000.0,mid,True,2026-04-28 15:10:47,,
PRD-FMCG-00000002,SEL-HCM-STA-00000031,FMCG,Mom & Baby,,Mom & Baby Item 000002,331000.0,value,True,2026-04-27 03:44:18,,
PRD-FASHION-00000003,SEL-HCM-STA-00000051,Fashion,Men's Fashion,DenimSaigon,Men's Fashion Item 000003,64000.0,value,True,2026-05-01 09:24:41,platform_fulfilled,"{""material"": ""denim"", ""size_family"": ""free_size"", ""style"": ""office"", ""subcategory"": ""Men's Fashion""}"
PRD-ELHA-00000004,SEL-HCM-NEW-00000055,ELHA,Home Appliances,SmartHue,Home Appliances Item 000004,3211000.0,budget,True,2026-04-26 23:11:45,,
PRD-FMCG-00000005,SEL-OVN-NEW-00000011,FMCG,Pet Care,Mekong Pantry,Pet Care Item 000005,44000.0,budget,True,2026-05-02 21:01:41,platform_fulfilled,"{""pack_size"": ""single"", ""shelf_life_days"": 409, ""subcategory"": ""Pet Care"", ""variant"": ""standard""}"
PRD-FMCG-00000006,SEL-HAN-PRE-00000020,FMCG,Groceries,Saigon Fresh,Groceries Item 000006,40000.0,mid,True,2026-05-01 18:28:25,platform_fulfilled,"{""pack_size"": ""bundle_3"", ""shelf_life_days"": 303, ""subcategory"": ""Groceries"", ""variant"": ""premium""}"
PRD-ELHA-00000007,SEL-NTR-STA-00000034,ELHA,TVs & Audio,BimDigital,TVs & Audio Item 000007,1931000.0,value,True,2026-05-02 00:22:36,seller_fulfilled,"{""energy_rating"": ""A"", ""spec_tier"": ""flagship"", ""subcategory"": ""TVs & Audio"", ""warranty_months"": 18}"
PRD-FMCG-00000008,SEL-DAD-PRE-00000037,FMCG,Household Goods,Saigon Fresh,Household Goods Item 000008,113000.0,mid,True,2026-04-29 10:09:28,platform_fulfilled,"{""pack_size"": ""bundle_3"", ""shelf_life_days"": 310, ""subcategory"": ""Household Goods"", ""variant"": ""sensitive""}"
PRD-HOME-LIVING-00000009,SEL-HCM-STA-00000002,Home & Living,Furniture,BepNha,Furniture Item 000009,1066000.0,value,True,2026-04-30 01:00:37,seller_fulfilled,"{""assembly_required"": false, ""material"": ""fabric"", ""room_type"": ""kitchen"", ""subcategory"": ""Furniture""}"
PRD-ELHA-00000010,SEL-BDG-STA-00000052,ELHA,Mobile & Gadgets,VinaTech,Mobile & Gadgets Item 000010,2799000.0,value,True,2026-05-02 07:44:27,seller_fulfilled,"{""energy_rating"": ""A+"", ""spec_tier"": ""flagship"", ""subcategory"": ""Mobile & Gadgets"", ""warranty_months"": 12}"
PRD-ELHA-00000011,SEL-HCM-STA-00000025,ELHA,Smart Devices & Cameras,SaigonSound,Smart Devices & Cameras Item 000011,5781000.0,value,True,2026-04-26 20:45:23,,
PRD-FASHION-00000012,SEL-BDG-PRE-00000026,Fashion,Fashion Accessories,StreetLotus,Fashion Accessories Item 000012,737000.0,mid,True,2026-04-28 09:13:12,,
PRD-ELHA-00000013,SEL-HCM-PRE-00000049,ELHA,Computers & Accessories,LotusHome,Computers & Accessories Item 000013,5037000.0,mid,True,2026-04-29 04:28:23,seller_fulfilled,"{""energy_rating"": ""A+"", ""spec_tier"": ""entry"", ""subcategory"": ""Computers & Accessories"", ""warranty_months"": 24}"
PRD-FMCG-00000014,SEL-HAN-STA-00000076,FMCG,Health & Beauty,GlowVina,Health & Beauty Item 000014,39000.0,value,True,2026-04-30 17:14:43,seller_fulfilled,"{""pack_size"": ""family_pack"", ""shelf_life_days"": 540, ""subcategory"": ""Health & Beauty"", ""variant"": ""premium""}"
PRD-ELHA-00000015,SEL-DAD-STA-00000070,ELHA,Mobile & Gadgets,SaigonSound,Mobile & Gadgets Item 000015,3582000.0,value,True,2026-04-30 18:23:52,platform_fulfilled,"{""energy_rating"": ""A++"", ""spec_tier"": ""entry"", ""subcategory"": ""Mobile & Gadgets"", ""warranty_months"": 24}"
PRD-FMCG-00000016,SEL-HAN-PRE-00000079,FMCG,Groceries,Saigon Fresh,Groceries Item 000016,99000.0,mid,True,2026-05-02 15:05:06,seller_fulfilled,"{""pack_size"": ""single"", ""shelf_life_days"": 541, ""subcategory"": ""Groceries"", ""variant"": ""sensitive""}"
PRD-ELHA-00000017,SEL-NTR-STA-00000034,ELHA,Mobile & Gadgets,SaigonSound,Mobile & Gadgets Item 000017,1256000.0,value,True,2026-04-29 19:55:10,cross_dock,"{""energy_rating"": ""A+"", ""spec_tier"": ""flagship"", ""subcategory"": ""Mobile & Gadgets"", ""warranty_months"": 12}"
PRD-FASHION-00000018,SEL-HAN-STA-00000010,Fashion,Women's Fashion,AoNha,Women's Fashion Item 000018,70000.0,value,True,2026-04-27 16:42:30,,
PRD-ELHA-00000019,SEL-HAN-STA-00000018,ELHA,Home Appliances,LotusHome,Home Appliances Item 000019,478000.0,value,True,2026-04-27 15:53:42,,
PRD-ELHA-00000020,SEL-OVN-STA-00000028,ELHA,Mobile & Gadgets,VinaTech,Mobile & Gadgets Item 000020,2550000.0,value,True,2026-05-01 21:16:10,seller_fulfilled,"{""energy_rating"": ""A"", ""spec_tier"": ""flagship"", ""subcategory"": ""Mobile & Gadgets"", ""warranty_months"": 12}"
